county,state,pct_lead,winner,latitude,longitude
palo alto,iowa,0.3603,Trump,43.2277,-94.7334
palo pinto,texas,0.641,Trump,32.9242,-98.337
pamlico,north carolina,0.2655,Trump,35.306,-76.5777
panola,texas,0.3195,Trump,32.3579,-94.0913
park,wyoming,0.372,Trump,44.9718,-108.6221
parke,indiana,0.5204,Trump,39.9062,-87.178
parker,texas,0.6755,Trump,32.968,-97.8472
parmer,texas,0.3772,Trump,34.6417,-102.7241
pasco,florida,0.2157,Trump,28.4658,-82.172
pasquotank,north carolina,0.022,Clinton,36.2951,-76.2445
passaic,new jersey,0.2175,Clinton,41.1709,-74.3686
patrick,virginia,0.552,Trump,36.7921,-80.2774
paulding,ohio,0.4405,Trump,41.2174,-84.6296
pawnee,oklahoma,0.5252,Trump,36.4992,-96.7755
payette,idaho,0.5986,Trump,44.0782,-116.9203
payne,oklahoma,0.2832,Trump,36.2158,-96.9138
peach,georgia,0.0301,Trump,32.6181,-83.789
pearl river,mississippi,0.6675,Trump,30.8524,-89.5648
pecos,texas,0.2189,Trump,31.2729,-102.6926
pembina,north dakota,0.4924,Trump,48.9796,-97.5427
pemiscot,missouri,0.3349,Trump,36.3478,-89.8181
pend oreille,washington,0.359,Trump,48.8597,-117.3633
pender,north carolina,0.3041,Trump,34.6845,-78.0234
pendleton,west virginia,0.5404,Trump,38.8296,-79.3866
pennington,south dakota,0.3026,Trump,44.225,-102.4311
penobscot,maine,0.1093,Trump,46.0132,-68.4647
peoria,illinois,0.0276,Clinton,40.9454,-89.5858
pepin,wisconsin,0.2358,Trump,44.63,-91.9295
perquimans,north carolina,0.2808,Trump,36.3096,-76.5436
perry,tennessee,0.0635,Clinton,35.7467,-87.8251
pershing,nevada,0.4909,Trump,40.5484,-118.0344
person,north carolina,0.1733,Trump,36.5114,-79.0942
petersburg (city),virginia,0.7696,Clinton,37.2123,-77.4814
pettis,missouri,0.4694,Trump,38.9106,-93.3325
phelps,nebraska,0.574,Trump,40.5608,-99.5759
philadelphia,pennsylvania,0.6691,Clinton,40.1166,-75.0198
phillips,montana,0.2234,Clinton,48.7983,-107.8686
piatt,illinois,0.336,Trump,40.2147,-88.5179
pickaway,ohio,0.4265,Trump,39.8142,-82.9764
pickens,south carolina,0.4149,Trump,34.9706,-82.8076
pickett,tennessee,0.5685,Trump,36.5709,-85.1456
pierce,wisconsin,0.3646,Clinton,44.855,-92.6313
pike,pennsylvania,0.3499,Trump,41.482,-74.986
pima,arizona,0.1348,Clinton,32.5056,-110.9211
pinal,arizona,0.1931,Trump,33.4001,-111.5028
pine,minnesota,0.263,Trump,46.3837,-92.8182
pinellas,florida,0.011,Trump,28.1458,-82.6825
pipestone,minnesota,0.4627,Trump,44.1682,-96.0871
piscataquis,maine,0.2521,Trump,45.4796,-69.6939
pitkin,colorado,0.4541,Clinton,39.3199,-106.6596
pitt,north carolina,0.0738,Clinton,35.7909,-77.3748
pittsburg,oklahoma,0.5239,Trump,35.1571,-95.6215
pittsylvania,virginia,0.3959,Trump,37.0798,-79.3
placer,california,0.1074,Trump,39.2968,-120.6727
plaquemines parish,louisiana,0.3361,Trump,29.8549,-89.9906
platte,wyoming,0.3679,Trump,42.5004,-105
pleasants,west virginia,0.5501,Trump,39.386,-81.1725
plumas,california,0.2101,Trump,40.2975,-121.2273
plymouth,massachusetts,0.2332,Clinton,42.2853,-70.8754
pocahontas,west virginia,0.4474,Trump,38.5513,-79.7952
poinsett,arkansas,0.2384,Trump,35.674,-90.3401
polk,wisconsin,0.2802,Clinton,45.6729,-92.3545
pondera,montana,0.3882,Trump,48.2795,-112.3033
pontotoc,oklahoma,0.5542,Trump,34.8737,-96.5956
pope,minnesota,0.4525,Trump,45.7244,-95.6656
poquoson (city),virginia,0.4906,Trump,37.1313,-76.3807
portage,wisconsin,0.0411,Clinton,44.6622,-89.3356
